,County,Sanders,Biden,Bloomberg,Warren,Rpt.
0,Salt Lake,36223,15381,16001,15586,<1%
1,Utah,7769,3955,2630,3977,<1%
2,Davis,6252,3678,3488,2913,<1%
3,Weber,4772,2603,2290,1823,100%
4,Washington,1906,1807,1654,936,100%
5,Summit,942,876,1288,703,100%
6,Tooele,870,579,515,323,100%
7,Wasatch,594,455,452,260,100%
8,Iron,443,317,217,241,<1%
9,Cache,495,120,257,250,93%
10,Grand,574,208,144,285,<1%
11,Box Elder,355,296,295,155,100%
12,Carbon,246,347,247,136,<1%
13,Uintah,186,143,122,90,100%
14,San Juan,312,131,143,60,58%
15,Sanpete,180,86,84,78,100%
16,Kane,135,79,64,75,17%
17,Sevier,82,82,83,40,100%
18,Morgan,80,80,62,38,<1%
19,Duchesne,74,72,54,43,<1%
20,Garfield,77,25,28,55,<1%
21,Juab,51,53,64,18,100%
22,Millard,25,54,59,21,100%
23,Emery,43,50,36,15,100%
24,Wayne,43,22,27,34,100%
25,Beaver,27,37,41,13,<1%
26,Rich,12,20,7,4,100%
27,Daggett,13,10,7,4,100%
28,Piute,5,5,7,2,100%
